benchmark,add,sub,multiply_plain,rotate_rows,multiply,Depth,Multplicative Depth,compile_time (s),execution_time (s),Remaining_noise_budget
box_blur_3x3,24,0,45,18,0,25,0,471.991,2.201,228
box_blur_4x4,26,0,111,51,0,36,0,926.780,6.911,122
box_blur_5x5,27,0,204,100,0,36,0,1553.897,13.453,119
dot_product_3x3_fully,2,0,0,2,1,5,1,10.595,0.319,328
dot_product_4x4_fully,4,0,4,2,1,7,1,106.571,0.417,327
dot_product_5x5_fully,5,0,4,3,1,8,1,127.187,0.452,302
dot_product_8x8_fully,6,0,4,3,1,9,1,179.196,0.453,276
dot_product_16x16_fully,11,0,14,10,1,15,1,324.983,1.042,250
dot_product_32x32_fully,16,0,34,21,1,22,1,629.485,2.198,224
l2_distance_3,4,2,4,2,1,7,1,131.961,0.381,327
l2_distance_4,4,2,4,2,1,8,1,158.341,0.382,301
l2_distance_5,7,2,8,3,1,11,1,183.061,0.557,301
l2_distance_8,9,3,9,3,2,11,1,276.027,0.676,247
l2_distance_16,18,3,52,23,2,22,1,574.150,3.278,193
l2_distance_32,17,1,101,73,1,26,1,1170.184,7.958,190
gx_kernel_3x3,11,0,57,27,1,16,1,594.926,3.230,219
gx_kernel_4x4,11,0,112,59,1,16,1,1061.439,7.456,219
gx_kernel_5x5,12,0,182,105,1,16,1,1673.958,12.841,215
gy_kernel_3x3,10,0,54,29,1,16,1,595.976,3.764,220
gy_kernel_4x4,11,0,101,60,1,16,1,1057.486,7.132,172
gy_kernel_5x5,11,0,169,103,1,17,1,1670.887,12.897,215
hamming_distance_3,1,1,0,0,2,3,2,93.759,0.391,296
hamming_distance_4,1,1,0,0,2,3,2,144.852,0.390,270
hamming_distance_5,2,2,0,0,2,3,2,169.572,0.393,296
hamming_distance_8,1,1,0,3,2,4,2,282.906,0.498,296
hamming_distance_16,12,2,42,21,2,12,2,520.420,2.675,136
hamming_distance_32,8,1,92,69,2,12,2,1054.597,6.949,213
linear_reg_3,0,2,0,0,1,3,1,2.015,0.285,328
linear_reg_4,0,2,0,0,1,3,1,2.278,0.286,328
linear_reg_5,0,2,0,0,1,3,1,2.555,0.388,328
linear_reg_8,3,3,6,1,1,6,1,197.718,0.659,303
linear_reg_16,7,3,25,17,1,12,1,500.449,2.118,247
linear_reg_32,4,3,46,44,1,12,1,963.687,4.931,245
matmul_3x3_fully,5,0,14,9,2,9,1,456.644,1.243,276
matmul_4x4_fully,7,0,44,32,2,10,1,1085.128,3.653,275
matmul_5x5_fully,13,0,82,69,1,14,1,2158.145,8.314,224
poly_reg_3,7,2,9,2,2,12,2,196.193,0.838,219
poly_reg_4,10,1,19,4,3,16,2,238.869,1.066,216
poly_reg_5,15,2,28,8,3,18,2,311.468,1.605,192
poly_reg_8,12,1,38,21,2,20,2,501.163,2.752,164
poly_reg_16,12,1,79,56,2,20,2,961.519,6.589,161
poly_reg_32,12,1,173,134,2,20,2,1896.952,17.909,159
roberts_cross_3x3,11,0,27,10,2,12,1,291.833,1.349,273
roberts_cross_4x4,9,0,51,24,2,12,1,543.704,3.056,244
roberts_cross_5x5,10,0,95,43,2,12,1,857.648,5.211,243
max_3_packed_fully,9,0,10,3,3,14,2,132.890,0.808,294
max_4_packed_fully,16,0,25,8,6,22,3,252.436,1.465,134
max_5_packed_fully,21,0,55,27,9,29,4,509.189,4.316,48
sort_3_packed_fully,9,0,6,5,4,12,3,184.944,1.211,181
sort_4_packed_fully,31,0,114,66,10,42,6,959.704,ErrorV,0
tree_50-50-5,4,0,0,0,2,4,2,4.306,0.467,296
tree_50-50-10,21,0,19,7,7,27,7,147.033,1.973,126
tree_100-50-5,14,0,22,7,4,18,3,176.904,1.442,157
tree_100-50-10,243,0,873,490,148,50,8,6798.692,ErrorV,0
tree_100-100-5,7,0,13,5,5,16,5,170.154,1.416,158
tree_100-100-10,16,0,373,334,10,36,10,5396.742,ErrorV,0