benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),execution_time (s),Remaining_noise_budget
max_3,6.0,0.0,0.0,0.0,3.0,6.0,6.0,2.0,0.213,0.853,295
max_4,12.0,0.0,0.0,0.0,6.0,12.0,8.0,3.0,0.167,1.663,262
max_5,20.0,0.0,0.0,0.0,10.0,20.0,10.0,4.0,0.210,2.727,229
sort_3,8.0,0.0,0.0,0.0,3.0,10.0,8.0,3.0,0.174,1.393,263
sort_4,35.0,0.0,0.0,0.0,6.0,58.0,14.0,6.0,2.726,7.615,164
box_blur_3,13.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.187,0.281,359
box_blur_4,13.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.211,0.281,359
box_blur_5,13.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.245,0.282,359
lin_reg_3,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.164,0.043,359
lin_reg_4,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.158,0.043,358
lin_reg_5,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.160,0.043,359
lin_reg_8,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.163,0.043,359
lin_reg_16,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.177,0.043,359
lin_reg_25,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.174,0.043,359
lin_reg_32,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.187,0.043,359
hamming_dist_3,5.0,3.0,3.0,0.0,0.0,6.0,6.0,2.0,0.173,0.492,327
hamming_dist_4,7.0,4.0,4.0,0.0,0.0,8.0,6.0,2.0,0.167,0.653,327
hamming_dist_5,9.0,5.0,5.0,0.0,0.0,10.0,6.0,2.0,0.173,0.813,326
hamming_dist_8,15.0,8.0,8.0,0.0,0.0,16.0,7.0,2.0,0.189,1.300,326
hamming_dist_16,32.0,15.0,16.0,0.0,0.0,32.0,8.0,2.0,0.283,2.601,325
hamming_dist_25,49.0,25.0,25.0,0.0,0.0,50.0,9.0,2.0,0.457,4.050,325
hamming_dist_32,63.0,32.0,32.0,0.0,0.0,64.0,9.0,2.0,0.763,5.187,325
poly_reg_3,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.163,0.345,296
poly_reg_4,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,1.151,0.345,296
poly_reg_5,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,2.398,0.345,296
poly_reg_8,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.197,0.344,296
poly_reg_16,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.216,0.345,296
poly_reg_25,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.240,0.346,296
poly_reg_32,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.335,0.345,296
l2_distance_3,2.0,3.0,0.0,0.0,0.0,3.0,4.0,1.0,0.160,0.486,327
l2_distance_4,3.0,4.0,0.0,0.0,0.0,4.0,4.0,1.0,0.168,0.648,326
l2_distance_5,4.0,5.0,0.0,0.0,0.0,5.0,5.0,1.0,0.166,0.808,326
l2_distance_8,7.0,8.0,0.0,0.0,0.0,8.0,5.0,1.0,0.170,1.288,326
l2_distance_16,15.0,16.0,0.0,0.0,0.0,16.0,6.0,1.0,0.195,2.574,326
l2_distance_25,24.0,25.0,0.0,0.0,0.0,25.0,7.0,1.0,0.235,4.010,325
l2_distance_32,31.0,32.0,0.0,0.0,0.0,32.0,7.0,1.0,0.252,5.132,325
dot_product_3,2.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.166,0.486,328
dot_product_4,3.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.157,0.647,327
dot_product_5,4.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0.159,0.804,327
dot_product_8,7.0,0.0,0.0,0.0,0.0,8.0,4.0,1.0,0.161,1.291,327
dot_product_16,15.0,0.0,0.0,0.0,0.0,16.0,5.0,1.0,0.188,2.563,326
dot_product_25,24.0,0.0,0.0,0.0,0.0,25.0,6.0,1.0,0.207,4.001,326
dot_product_32,31.0,0.0,0.0,0.0,0.0,32.0,6.0,1.0,0.226,5.119,326
gx_kernel_3,8,2,6,0,0,0,5,1,0.261,0.315,355
gx_kernel_4,8,2,6,0,0,0,5,1,0.198,0.315,355
gx_kernel_5,8,2,6,0,0,0,5,1,0.308,0.315,355
gy_kernel_3,8,2,5,0,0,0,5,1,0.269,0.295,335
gy_kernel_4,8,2,5,0,0,0,5,1,0.278,0.295,340
gy_kernel_5,8,2,5,0,0,0,5,1,0.296,0.297,335
roberts_cross_3,4,2,0,0,0,3,5,1,0.267,0.507,327
roberts_cross_4,4,2,0,0,0,3,5,1,0.301,0.505,327
roberts_cross_5,4,2,0,0,0,3,5,1,0.324,0.505,327
matrix_mul_3,2,0,0,0,0,3,3,1,0.266,0.488,328
matrix_mul_4,3,0,0,0,0,4,3,1,0.292,0.678,328
matrix_mul_5,4,0,0,0,0,5,4,1,0.336,0.824,327
tree_50-50-5,5.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.240,0.405,296
tree_50-50-10,16.0,0.0,0.0,0.0,0.0,17.0,8.0,5.0,0.186,2.721,199
tree_100-50-5,16.0,0.0,0.0,0.0,0.0,15.0,5.0,3.0,0.170,2.449,263
tree_100-50-10,504.0,0.0,0.0,0.0,0.0,519.0,13.0,8.0,1.782,82.589,100
tree_100-100-5,1.0,0.0,0.0,0.0,0.0,30.0,5.0,4.0,0.241,4.263,229
tree_100-100-10,1.0,0.0,0.0,0.0,0.0,1022.0,10.0,9.0,6.301,143.185,62
